n,Length to reach n,check
1807,118,True
1808,17,True
1809,56,True
1810,69,True
1811,69,True
1812,17,True
1813,17,True
1814,56,True
1815,56,True
1816,17,True
1817,69,True
1818,17,True
1819,162,True
1820,43,True
1821,43,True
1822,43,True
1823,162,True
1824,38,True
1825,43,True
1826,131,True
1827,131,True
1828,131,True
1829,131,True
1830,131,True
1831,69,True
1832,38,True
1833,43,True
1834,38,True
1835,131,True
1836,131,True
1837,131,True
1838,131,True
1839,162,True
1840,38,True
1841,131,True
1842,131,True
1843,131,True
1844,38,True
1845,38,True
1846,69,True
1847,69,True
1848,131,True
1849,69,True
1850,131,True
1851,131,True
1852,131,True
1853,131,True
1854,118,True
1855,118,True
1856,25,True
1857,38,True
1858,131,True
1859,131,True
1860,38,True
1861,38,True
1862,38,True
1863,69,True
1864,87,True
1865,69,True
1866,87,True
1867,38,True
1868,87,True
1869,87,True
1870,131,True
1871,131,True
1872,25,True
1873,87,True
1874,175,True
1875,175,True
1876,25,True
1877,25,True
1878,87,True
1879,87,True
1880,131,True
1881,38,True
1882,131,True
1883,87,True
1884,131,True
1885,131,True
1886,38,True
1887,38,True
1888,38,True
1889,82,True
1890,38,True
1891,38,True
1892,38,True
1893,38,True
1894,38,True
1895,175,True
1896,38,True
1897,69,True
1898,38,True
1899,69,True
1900,30,True
1901,30,True
1902,30,True
1903,131,True
1904,38,True
1905,38,True
1906,30,True
1907,30,True
1908,38,True
1909,38,True
1910,30,True
1911,30,True
1912,56,True
1913,82,True
1914,56,True
1915,175,True
1916,56,True
1917,56,True
1918,131,True
1919,131,True
1920,25,True
1921,144,True
1922,51,True
1923,51,True
1924,51,True
1925,51,True
1926,51,True
1927,51,True
1928,25,True
1929,56,True
1930,25,True
1931,144,True
1932,25,True
1933,25,True
1934,144,True
1935,144,True
1936,100,True
1937,51,True
1938,51,True
1939,51,True
1940,100,True
1941,100,True
1942,38,True
1943,38,True
1944,100,True
1945,38,True
1946,100,True
1947,82,True
1948,144,True
1949,144,True
1950,144,True
1951,175,True
1952,25,True
1953,38,True
1954,100,True
1955,100,True
1956,51,True
1957,51,True
1958,51,True
1959,82,True
1960,25,True
1961,175,True
1962,25,True
1963,82,True
1964,144,True
1965,144,True
1966,144,True
1967,100,True
1968,51,True
1969,25,True
1970,25,True
1971,25,True
1972,51,True
1973,51,True
1974,38,True
1975,38,True
1976,51,True
1977,144,True
1978,51,True
1979,144,True
1980,100,True
1981,100,True
1982,100,True
1983,51,True
1984,113,True
1985,51,True
1986,95,True
1987,95,True
1988,25,True
1989,25,True
1990,25,True
1991,51,True
1992,51,True
1993,51,True
1994,51,True
1995,51,True
1996,51,True
1997,51,True
1998,51,True
1999,51,True
2000,113,True
2001,51,True
2002,144,True
2003,144,True
2004,113,True
2005,113,True
2006,43,True
2007,43,True
2008,69,True
2009,25,True
2010,69,True
2011,43,True
2012,69,True
2013,69,True
2014,95,True
2015,95,True
2016,113,True
2017,69,True
2018,113,True
2019,113,True
2020,64,True
2021,64,True
2022,64,True
2023,157,True
2024,113,True
2025,157,True
2026,113,True
2027,157,True
2028,38,True
2029,38,True
2030,38,True
2031,64,True
2032,51,True
2033,113,True
2034,157,True
2035,157,True
2036,51,True
2037,51,True
2038,64,True
2039,64,True
2040,51,True
2041,64,True
2042,51,True
2043,157,True
2044,64,True
2045,64,True
2046,64,True
2047,157,True
2048,12,True
2049,157,True
2050,38,True
2051,38,True
2052,38,True
2053,38,True
2054,38,True
2055,38,True
2056,126,True
2057,113,True
2058,126,True
2059,38,True
2060,126,True
2061,126,True
2062,38,True
2063,38,True
2064,126,True
2065,126,True
2066,157,True
2067,157,True
2068,126,True
2069,126,True
2070,126,True
2071,126,True
2072,126,True
2073,38,True
2074,126,True
2075,95,True
2076,64,True
2077,64,True
2078,64,True
2079,51,True
2080,33,True
2081,64,True
2082,126,True
2083,126,True
2084,126,True
2085,126,True
2086,126,True
2087,113,True
2088,33,True
2089,64,True
2090,33,True
2091,38,True
2092,126,True
2093,126,True
2094,126,True
2095,108,True
2096,33,True
2097,64,True
2098,64,True
2099,64,True
2100,33,True
2101,33,True
2102,95,True
2103,95,True
2104,82,True
2105,126,True
2106,82,True
2107,157,True
2108,82,True
2109,82,True
2110,170,True
2111,170,True
2112,33,True
2113,82,True
2114,82,True
2115,82,True
2116,33,True
2117,33,True
2118,33,True
2119,82,True
2120,126,True
2121,108,True
2122,126,True
2123,33,True
2124,126,True
2125,126,True
2126,77,True
2127,77,True
2128,33,True
2129,126,True
2130,77,True
2131,77,True
2132,33,True
2133,33,True
2134,64,True
